时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),C22-E301-明辉-电磁炉_单投-copy,C22-E301--明辉-搜索_单投,141420,10002,7.07%,31242.98,220.92,3.12,2372,1701538.20,23.72%,54.46,
20190604~20190626,自定义-电磁炉兴趣人群,标签人群,无线,京东快车(搜索),C22-E301-明辉-电磁炉_单投-copy,C22-E301--明辉-搜索_单投,140367,9698,6.91%,30144.34,214.75,3.11,2384,1674889.94,24.58%,55.56,
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,京东快车(搜索),腰带店铺-_生活电器_腰部广告,腰带店铺-端-活动,138509,5200,3.75%,4305.72,31.09,0.83,746,210469.78,14.35%,48.88,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),电饭煲-明辉_电饭煲_单投,WFZ5099IH-端中,138077,11579,8.39%,25877.39,187.41,2.23,4552,4356926.48,39.31%,168.37,
20190604~20190626,【新】近30天电磁炉但半年未购买-1005,新标签人群,无线,京东快车(搜索),C22-E301-明辉-电磁炉_单投-copy,C22-E301--明辉-搜索_单投,135888,9628,7.09%,29946.09,220.37,3.11,2367,1658876.04,24.58%,55.40,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,135666,4172,3.08%,1167.83,8.61,0.28,2,392.00,0.05%,0.34,
20190604~20190626,【新】30天浏览美的电饭煲-1009,新标签人群,无线,京东快车(搜索),电饭煲-明辉_电饭煲_单投,WFZ5099IH-端中,134642,11236,8.35%,25098.64,186.41,2.23,3414,3050672.09,30.38%,121.55,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),MB-30LH5-电饭煲-明辉_电饭煲_单投,MB-30LH5搜索位置-,134498,7133,5.30%,15097.39,112.25,2.12,1094,894026.53,15.34%,59.22,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,130686,3626,2.77%,1173.90,8.98,0.32,3,647.00,0.08%,0.55,
20190604~20190626,【新】浏览过美的电饭煲但未购买（30）,新标签人群,无线,京东快车(搜索),电饭煲-明辉_电饭煲_单投,FB50EASY501-端中,129707,9864,7.60%,30183.57,232.71,3.06,2004,582791.70,20.32%,19.31,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),秒杀计划,美的（Midea）_电饭煲,128946,9551,7.41%,8188.52,63.50,0.86,5479,4841423.01,57.37%,591.25,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),腰带店铺-_生活电器_腰部广告,腰带店铺-端-活动,125147,5196,4.15%,4319.71,34.52,0.83,848,229321.39,16.32%,53.09,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),C22-WT2203-明辉-电磁炉_单投,C22WT2203-明辉-搜索_单投,124424,21629,17.38%,46674.69,375.13,2.16,7372,2495793.54,34.08%,53.47,
20190604~20190626,默认购买人群,京选人群,无线,京东快车(搜索),秒杀计划,美的（Midea）_电饭煲,123557,9266,7.50%,7938.28,64.25,0.86,5418,4828093.81,58.47%,608.20,
20190604~20190626,【新】30天厨小浏览未购-0605,新标签人群,无线,京东直投,,,122470,4303,3.51%,993.92,8.12,0.23,9,3911.90,0.21%,3.94,
20190604~20190626,默认购买人群,京选人群,无线,京东快车(搜索),C22-WT2203-明辉-电磁炉_单投,C22WT2203-明辉-搜索_单投,121409,21378,17.61%,46001.07,378.89,2.15,7420,2506299.51,34.71%,54.48,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),C22-WT2203-明辉-电磁炉_单投,C22WT2203-明辉-搜索_单投,119748,20396,17.03%,44347.91,370.34,2.17,6869,2425697.99,33.68%,54.70,
20190604~20190626,自定义-电磁炉兴趣人群,标签人群,无线,京东快车(搜索),C22-WT2203-明辉-电磁炉_单投,C22WT2203-明辉-搜索_单投,116469,20050,17.21%,43127.47,370.29,2.15,6927,2408721.96,34.55%,55.85,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),DY3020Power101-明辉_多用途锅_单投,MC-DY3020Power101电煎锅-搜索位置,115482,4609,3.99%,13514.32,117.03,2.93,440,122161.33,9.55%,9.04,
20190604~20190626,自定义-电水壶/电水瓶兴趣人群,标签人群,无线,京东快车(搜索),WHJ1705b-瑞博_电水壶_单投,WHJ1705b,113962,16562,14.53%,26307.78,230.85,1.59,5909,3814516.12,35.68%,145.00,
20190604~20190626,【新】近30天电磁炉但半年未购买-1005,新标签人群,无线,京东快车(搜索),C22-WT2203-明辉-电磁炉_单投,C22WT2203-明辉-搜索_单投,113268,19875,17.55%,42668.50,376.70,2.15,6769,2378579.01,34.06%,55.75,
20190604~20190626,【新】30天厨小浏览未购-0605,新标签人群,无线,京东直投,,,112744,3166,2.81%,978.14,8.68,0.31,3,561.00,0.09%,0.57,
20190604~20190626,【新】近30天浏览电水壶/热水瓶-1005,新标签人群,无线,京东快车(搜索),WHJ1705b-瑞博_电水壶_单投,WHJ1705b,108541,16114,14.85%,25417.90,234.18,1.58,5737,3746002.74,35.60%,147.38,
20190604~20190626,【新】近3天搜索电磁炉-1018,新标签人群,无线,京东快车(搜索),C22-WT2203-明辉-电磁炉_单投,C22WT2203-明辉-搜索_单投,107048,17872,16.70%,37506.96,350.38,2.10,6025,1893122.36,33.71%,50.47,
20190604~20190626,【新】近7天浏览电磁炉-1108,新标签人群,无线,京东快车(搜索),C22-WT2203-明辉-电磁炉_单投,C22WT2203-明辉-搜索_单投,106229,18466,17.38%,39577.40,372.57,2.14,6412,2290011.83,34.72%,57.86,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),MB-30LH5-电饭煲-明辉_电饭煲_单投,MB-30LH5搜索位置-,106114,5747,5.42%,12151.00,114.51,2.11,888,710173.43,15.45%,58.45,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),C22-E301-明辉-电磁炉_单投-copy,C22-E301--明辉-搜索_单投,106051,7810,7.36%,24034.36,226.63,3.08,2112,1588713.16,27.04%,66.10,
