时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),【A+】MB100VJ31D_美的洗衣机_单投,【搜索】无线,141154,7381,5.23%,28689.01,203.25,3.89,1400,3395782.13,18.97%,118.37,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,140811,740,0.53%,422.11,3.00,0.57,1,1599.00,0.14%,3.79,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,138835,3436,2.47%,993.56,7.16,0.29,2,2517.00,0.06%,2.53,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,品牌聚效,12月计划_美的洗衣机,top&amp;竞品人群,138123,539,0.39%,7524.87,54.48,13.96,8,9381.00,1.48%,1.25,
20190604~20190626,冰箱核心人群（美海美菱容西门子）,标签人群,无线,品牌聚效,12月计划_美的洗衣机,无线首焦-跨品类,137695,220,0.16%,5846.00,42.46,26.57,-,-,-,-,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),【A+++】MD100V31DG5_美的洗衣机_单投,【搜索】-无线,135124,19301,14.28%,75357.53,557.69,3.90,2720,6239286.42,14.09%,82.80,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,132719,2541,1.91%,755.13,5.69,0.30,-,-,-,-,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),【A++】MG100V51D5_美的洗衣机_单投,【搜索】-无线,132665,12248,9.23%,53630.66,404.26,4.38,1599,3572080.50,13.06%,66.61,
20190604~20190626,【新】京东快报-家具家电家装,新标签人群,无线,品牌聚效,12月计划_美的洗衣机,无线首焦-跨品类,125111,284,0.23%,5411.77,43.26,19.06,1,1699.00,0.35%,0.31,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),【A+】MB100VJ31D_美的洗衣机_单投,【搜索】无线,123244,7210,5.85%,27373.65,222.11,3.80,1410,3364702.80,19.56%,122.92,
20190604~20190626,近30天内加购、加关注所选种子商品的人群,定向推荐人群,无线,品牌聚效,12月计划_美的洗衣机,无线首焦-美的品牌人群,122676,656,0.53%,11828.07,96.42,18.03,97,290201.20,14.79%,24.53,
20190604~20190626,自定义-核心型号扩展至店铺-海尔洗旗,标签人群,无线,京东快车(搜索),【A++】MG100V51D5_美的洗衣机_单投,【搜索】-无线,120798,11098,9.19%,50192.64,415.51,4.52,1165,2818814.90,10.50%,56.16,
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,京东快车(搜索),【A+】MB100VJ31D_美的洗衣机_单投,【搜索】无线,119751,6697,5.59%,25633.50,214.06,3.83,1302,3271913.13,19.44%,127.64,
20190604~20190626,热水器核心人群（美的海尔林内）,标签人群,无线,品牌聚效,12月计划_美的洗衣机,无线首焦-跨品类,116082,222,0.19%,4850.21,41.78,21.85,2,4598.00,0.90%,0.95,
20190604~20190626,意向人群-洗衣机-海尔,标签人群,无线,京东快车(搜索),【A++】MG100V51D5_美的洗衣机_单投,【搜索】-无线,115923,10725,9.25%,48501.21,418.39,4.52,1127,2758071.90,10.51%,56.87,
20190604~20190626,【新】618大促京东直投广告再营销人群,京选人群,无线,品牌聚效,跨品类【618临时】,无线首焦-跨品类,115673,295,0.26%,7006.67,60.57,23.75,-,-,-,-,
20190604~20190626,自定义-洗衣机top180机型不扩展,标签人群,无线,京东快车(搜索),【A+】MB100VJ31D_美的洗衣机_单投,【搜索】无线,106885,6613,6.19%,25263.49,236.36,3.82,1377,3365766.13,20.82%,133.23,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),【A+】MB100V50QC_美的洗衣机_单投,【搜索】无线,105455,5309,5.03%,17217.49,163.27,3.24,1113,3505396.30,20.96%,203.60,
20190604~20190626,自定义-洗衣机全部型号不扩展2,标签人群,无线,京东快车(搜索),【A++】MG100V51D5_美的洗衣机_单投,【搜索】-无线,102264,8886,8.69%,39140.19,382.74,4.40,1298,3008297.90,14.61%,76.86,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),【A+++】MB100VJ31_美的洗衣机_单投,【搜索】无线,101364,6914,6.82%,29331.16,289.36,4.24,1383,2546199.40,20.00%,86.81,
20190604~20190626,洗衣机意向人群（海尔西门子TCL松下海信,标签人群,无线,京东快车(搜索),【A+】MB100VJ31D_美的洗衣机_单投,【搜索】无线,100919,5598,5.55%,21561.04,213.65,3.85,1209,2982964.83,21.60%,138.35,
20190604~20190626,【新】竞品-海尔topskui浏览未购,新标签人群,无线,品牌聚效,12月计划_美的洗衣机,top&amp;竞品人群,98444,450,0.46%,5460.64,55.47,12.13,6,6654.00,1.33%,1.22,
20190604~20190626,洗衣机意向人群（海尔西门子TCL松下海信,标签人群,无线,京东快车(搜索),【A+】MB100V50QC_美的洗衣机_单投,【搜索】无线,98166,4388,4.47%,14661.85,149.36,3.34,981,3338243.40,22.36%,227.68,
20190604~20190626,自定义-洗衣机top180机型不扩展,标签人群,无线,京东快车(搜索),【A+】MB100V50QC_美的洗衣机_单投,【搜索】无线,95897,4785,4.99%,15658.33,163.28,3.27,975,2202607.10,20.38%,140.67,
20190604~20190626,近90天内购买所选种子的竞品品牌商品的人群,定向推荐人群,无线,京东快车(搜索),【A++】MG100V51D5_美的洗衣机_单投,【搜索】-无线,95319,8301,8.71%,37629.41,394.77,4.53,927,2394420.20,11.17%,63.63,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),【A+】MD100V71WDX_美的洗衣机_单投,【搜索】无线,90604,7707,8.51%,26808.26,295.88,3.48,662,1686785.50,8.59%,62.92,
20190604~20190626,【新】美的 MG100V331DS5-竞品-5.5,新标签人群,无线,京东快车(搜索),【A+++】MG100V331DS5_美的洗衣机_单投,搜索-无线,89181,13797,15.47%,51419.91,576.58,3.73,1383,2267398.00,10.02%,44.10,
20190604~20190626,自定义-核心型号扩展至店铺-海尔洗旗,标签人群,无线,京东快车(搜索),【A+】MB100VJ31D_美的洗衣机_单投,【搜索】无线,88124,5275,5.99%,20249.55,229.78,3.84,1163,2930985.83,22.05%,144.74,
20190604~20190626,核心人群-冰箱-海尔,标签人群,无线,京东快车(搜索),【A+++】MG100V331DS5_美的洗衣机_单投,搜索-无线,87966,10134,11.52%,41904.51,476.37,4.14,1437,3259306.50,14.18%,77.78,
20190604~20190626,【新】近15天浏览美的洗衣机未购买洗衣机人群,新标签人群,无线,品牌聚效,12月计划_美的洗衣机,无线首焦-美的品牌人群,85350,642,0.75%,9241.38,108.28,14.39,44,54963.60,6.85%,5.95,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),【A+++】MG80VN13DG5_美的洗衣机_单投,MG80VN13DG5搜索,78642,6370,8.10%,16192.64,205.90,2.54,1659,4764773.78,26.04%,294.26,
20190604~20190626,近90天内购买所选种子的竞品品牌商品的人群,定向推荐人群,无线,京东快车(搜索),【A+】MB100VJ31D_美的洗衣机_单投,【搜索】无线,77399,4569,5.90%,17495.27,226.04,3.83,1109,2883801.50,24.27%,164.83,
20190604~20190626,自定义-洗衣机top180机型不扩展,标签人群,无线,品牌聚效,竞品【618临时】,竞品人群,76229,559,0.73%,9940.93,130.41,17.78,14,21902.00,2.50%,2.20,
