时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,【新】油烟机搜索未购-关键词,新标签人群,PC,京东快车(搜索),J58_油烟机_单投,搜索-PC,38457,117,0.30%,551.52,14.34,4.71,23,30582.00,19.66%,55.45,
20190604~20190626,【新】品类7天浏览未购-油烟机,新标签人群,PC,京东快车(搜索),J18_油烟机_单投,搜索-PC,38298,323,0.84%,1333.40,34.82,4.13,24,24646.00,7.43%,18.48,
20190604~20190626,【新】油烟机搜索未购-类目,新标签人群,PC,京东快车(搜索),T36_油烟机_单投,搜索-PC,38119,191,0.50%,802.63,21.06,4.20,10,13410.00,5.24%,16.71,
20190604~20190626,【新】油烟机搜索未购-类目,新标签人群,PC,京东快车(搜索),J58_油烟机_单投,搜索-PC,37752,125,0.33%,567.69,15.04,4.54,23,23186.00,18.40%,40.84,
20190604~20190626,【新】美的品牌浏览未购-燃气灶,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索-无线,37568,3672,9.77%,12513.32,333.08,3.41,210,151075.00,5.72%,12.07,
20190604~20190626,【新】油烟机搜索未购-关键词,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索-核心-无线,37566,1767,4.70%,9946.30,264.77,5.63,91,101706.00,5.15%,10.23,
20190604~20190626,【新】油烟机搜索未购-类目,新标签人群,PC,京东快车(搜索),J57_油烟机_单投,搜索-PC,37196,525,1.41%,1971.72,53.01,3.76,29,38551.00,5.52%,19.55,
20190604~20190626,【新】品牌浏览+品类未购-油烟机,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索-核心-无线,37195,2065,5.55%,11389.01,306.20,5.52,130,137765.50,6.30%,12.10,
20190604~20190626,【新】燃气灶入口Top单品浏览未购买,新标签人群,PC,京东快车(搜索),Q216B_燃气灶_单投,搜索-PC,37116,643,1.73%,1736.53,46.79,2.70,93,59087.50,14.46%,34.03,
20190604~20190626,【新】油烟机搜索未购-关键词,新标签人群,PC,京东快车(搜索),J57_油烟机_单投,搜索-PC,36864,404,1.10%,1725.58,46.81,4.27,18,24889.00,4.46%,14.42,
