user_nick,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI
美的厨房电器1,默认购买人群,京选人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,117112,9384,8.01%,44285.01,378.14,4.72,474,1177649,5.05%,26.59
美的厨房电器1,【新】浏览店铺未购洗消,新标签人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,99706,6713,6.73%,36155.38,362.62,5.39,312,754804,4.65%,20.88
美的厨房电器1,【新】浏览洗碗机未购买,新标签人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,71375,6191,8.67%,27386.52,383.7,4.42,377,918467,6.09%,33.54
美的厨房电器1,618大促类目购买意向人群【洗碗机】,标签人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,68192,7199,10.56%,28333.89,415.5,3.94,488,1198940,6.78%,42.31
美的厨房电器1,默认购买人群,京选人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,64963,5374,8.27%,23587.7,363.09,4.39,248,694149,4.61%,29.43
美的厨房电器1,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,64126,4052,6.32%,20713.87,323.02,5.11,93,231152,2.30%,11.16
美的厨房电器1,【新】洗碗机搜索偏好,新标签人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,63253,7037,11.13%,23832.5,376.78,3.39,289,703897,4.11%,29.54
美的厨房电器1,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,60715,5056,8.33%,22247.99,366.43,4.4,247,694880,4.89%,31.23
美的厨房电器1,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,60663,5085,8.38%,22290.53,367.45,4.38,241,683759,4.74%,30.67
美的厨房电器1,默认购买人群,京选人群,无线,京东快车(搜索),K2_洗碗机_单投,搜索-核心,58309,7393,12.68%,35845.4,614.75,4.85,486,1380496,6.57%,38.51
美的厨房电器1,默认购买人群,京选人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,57649,160,0.28%,800.91,13.89,5.01,7,10824,4.38%,13.51
美的厨房电器1,【新】618大促高潜人群,京选人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,55847,3615,6.47%,19131.4,342.57,5.29,107,259303,2.96%,13.55
